--------------------------Environment Versions--------------------------
- Python     : 3.8.0 (default, Dec  9 2021, 17:53:27) 
[GCC 8.4.0]
- PyTorch    : 1.12.0+cu113
- TorchVison : 0.13.0+cu113
- use_gpu    : True
- is_debug   : False [Attention!]
- workers    : 8
- epochs     : 25
- print_freq : 10
- train_file : ava_activespeaker_train_loader_checked.csv
- val_file   : ava_activespeaker_val_loader_checked.csv
------------------------------------------------------------------------
step1. model is loaded ...
there are 28770 lines in ava_activespeaker_train_loader_checked.csv
group 28770 annolines into 1074 minibatches
there are 07803 lines in ava_activespeaker_val_loader_checked.csv
group 7803 annolines into 7803 minibatches
step2. dataset is loaded ...
epoch - 01||25 is starting ...
2022-09-14 02:12:43, [01], lr 0.00010000, iter 0.93%, loss 1.1862, acc 0.7043
2022-09-14 02:26:11, [01], lr 0.00010000, iter 55.87%, loss 0.8411, acc 0.7645
2022-09-14 02:26:20, [01], lr 0.00010000, iter 56.80%, loss 0.8391, acc 0.7652
2022-09-14 02:26:40, [01], lr 0.00010000, iter 57.73%, loss 0.8387, acc 0.7652
2022-09-14 02:26:54, [01], lr 0.00010000, iter 58.66%, loss 0.8366, acc 0.7660
2022-09-14 02:27:18, [01], lr 0.00010000, iter 59.59%, loss 0.8351, acc 0.7664
2022-09-14 02:27:24, [01], lr 0.00010000, iter 60.52%, loss 0.8354, acc 0.7661
2022-09-14 02:27:41, [01], lr 0.00010000, iter 61.45%, loss 0.8346, acc 0.7664
2022-09-14 02:27:59, [01], lr 0.00010000, iter 62.38%, loss 0.8335, acc 0.7668
2022-09-14 02:28:22, [01], lr 0.00010000, iter 63.31%, loss 0.8314, acc 0.7673
2022-09-14 02:28:35, [01], lr 0.00010000, iter 64.25%, loss 0.8298, acc 0.7680
2022-09-14 02:28:54, [01], lr 0.00010000, iter 65.18%, loss 0.8294, acc 0.7681
2022-09-14 02:29:05, [01], lr 0.00010000, iter 66.11%, loss 0.8281, acc 0.7685
2022-09-14 02:29:18, [01], lr 0.00010000, iter 67.04%, loss 0.8277, acc 0.7684
2022-09-14 02:29:29, [01], lr 0.00010000, iter 67.97%, loss 0.8258, acc 0.7691
2022-09-14 02:29:43, [01], lr 0.00010000, iter 68.90%, loss 0.8250, acc 0.7695
2022-09-14 02:30:02, [01], lr 0.00010000, iter 69.83%, loss 0.8240, acc 0.7699
2022-09-14 02:30:24, [01], lr 0.00010000, iter 70.76%, loss 0.8228, acc 0.7701
2022-09-14 02:30:35, [01], lr 0.00010000, iter 71.69%, loss 0.8222, acc 0.7702
2022-09-14 02:30:47, [01], lr 0.00010000, iter 72.63%, loss 0.8219, acc 0.7702
2022-09-14 02:31:06, [01], lr 0.00010000, iter 73.56%, loss 0.8203, acc 0.7706
2022-09-14 02:31:20, [01], lr 0.00010000, iter 74.49%, loss 0.8193, acc 0.7710
2022-09-14 02:31:28, [01], lr 0.00010000, iter 75.42%, loss 0.8185, acc 0.7711
2022-09-14 02:31:46, [01], lr 0.00010000, iter 76.35%, loss 0.8185, acc 0.7714
2022-09-14 02:31:59, [01], lr 0.00010000, iter 77.28%, loss 0.8177, acc 0.7716
2022-09-14 02:32:10, [01], lr 0.00010000, iter 78.21%, loss 0.8172, acc 0.7719
2022-09-14 02:32:29, [01], lr 0.00010000, iter 79.14%, loss 0.8159, acc 0.7722
2022-09-14 02:32:43, [01], lr 0.00010000, iter 80.07%, loss 0.8149, acc 0.7727
